TransactionId,UserId,VisitYear,VisitMonth,VisitMode,AttractionId,Rating
84,2599,2020,3,Business,50,5.0
85,213,2024,5,Business,245,4.0
86,2257,2022,12,Family,88,4.0
87,2769,2024,8,Couples,144,5.0
88,1809,2023,4,business,292,2.0
89,1760,2020,8,Family,202,4.0
90,172,2024,9,Friends,326,4.0
91,2546,2024,9,Friends,292,3.0
92,172,2024,6,Family,187,2.0
93,906,2024,1,Business,52,3.0
94,2784,2024,4,Friends,286,4.0
95,2858,2022,5,Family,237,4.0
96,2977,2021,12,Family,184,4.0
97,1370,2021,12,Business,56,4.0
98,598,2023,9,Family,52,4.0
99,1400,2021,1,Family,202,5.0
100,339,2023,8,Couples,326,5.0
101,2599,2022,8,Family,291,5.0
102,1646,2022,12,Couples,292,5.0
103,1126,2023,3,Business,49,3.0
104,255,2021,8,Couples,35,5.0
105,1128,2022,12,Friends,320,5.0
106,2581,2022,10,Family,144,4.0
107,2080,2024,11,Couples,241,5.0
108,265,2021,10,Friends,286,4.0
109,535,2023,2,Business,209,5.0
110,1097,2024,9,Family,31,4.0
111,337,2022,4,Family,151,3.0
112,2816,2023,5,Business,330,3.0
113,1905,2020,2,Business,209,4.0
114,310,2024,9,Friends,298,5.0
115,2344,2023,11,Business,50,4.0
116,1024,2024,3,Friends,36,5.0
117,724,2020,11,Solo,244,4.0
118,1666,2021,5,Family,84,5.0
119,51,2024,11,Friends,202,5.0
120,1322,2020,7,Family,124,4.0
121,2512,2023,1,Family,119,5.0
122,2793,2023,7,Solo,61,4.0
123,966,2022,2,Couples,267,5.0
124,1871,2021,4,Couples,57,4.0
125,679,2024,7,Friends,178,4.0
126,1645,2022,6,Friends,76,5.0
127,747,2023,9,Couples,50,4.0
128,1671,2022,12,Friends,303,5.0
129,577,2022,4,,330,5.0
130,2844,2022,6,Family,50,4.0
131,2651,2022,5,Family,327,4.0
132,955,2024,10,Business,103,4.0
133,2305,2024,10,Couples,50,5.0
134,313,2020,3,Solo,126,1.0
135,2201,2022,1,Couples,267,4.0
136,802,2023,6,Couples,76,5.0
137,452,2023,9,Couples,326,5.0
138,1993,2024,5,Family,49,4.0
139,1346,2022,8,Couples,326,3.0
140,1529,2024,8,Family,50,4.0
141,1515,2023,6,Couples,328,5.0
142,191,2021,6,Business,154,5.0
143,177,2021,7,Friends,20,5.0
144,1760,2024,6,Family,111,4.0
145,1818,2022,7,Friends,150,5.0
146,172,2023,11,Business,150,4.0
147,1053,2024,1,Business,286,4.0
148,1792,2021,6,Couples,202,4.0
149,1917,2023,1,Couples,330,5.0
150,2468,2023,12,family,232,3.0
151,1173,2023,4,Friends,216,3.0
152,1597,2023,1,Friends,76,
153,1694,2023,4,Friends,326,5.0
154,899,2021,12,Family,246,5.0
155,180,2024,9,Family,22,4.0
156,16,2023,8,Solo,33,4.0
157,2490,2020,12,Family,40,4.0
158,669,2023,6,Friends,215,4.0
159,1838,2021,7,Business,238,4.0
160,1688,2024,3,Solo,118,4.0
161,1117,2021,6,Family,67,3.0
162,2483,2021,8,Business,25,5.0
163,2062,2023,2,Friends,88,4.0
164,90,2023,9,Business,147,4.0
165,2305,2023,2,Business,223,5.0
166,1468,2023,10,Business,294,3.0
167,982,2024,5,Family,238,5.0
168,2156,2023,6,Family,196,4.0
169,2019,2024,4,Family,143,5.0
170,895,2024,7,Couples,326,4.0
171,2947,2021,10,Couples,293,5.0
172,1892,2021,6,Friends,227,5.0
173,1769,2024,3,Couples,49,4.0
174,225,2024,6,Couples,292,4.0
175,788,2023,3,Solo,312,3.0
176,1261,2024,1,Family,342,4.0
177,1839,2020,3,Couples,326,4.0
178,1482,2022,10,Solo,44,3.0
179,2271,2023,6,Friends,150,4.0
180,760,2024,9,Friends,57,4.0
181,2075,2021,1,Family,289,4.0
182,2429,2021,4,Family,337,5.0
183,2279,2020,7,Solo,172,3.0
184,2297,2023,5,Couples,69,5.0
185,2654,2024,7,Business,221,4.0
186,272,2020,10,Friends,88,3.0
187,2058,2022,2,Family,38,4.0
188,2902,2023,4,Couples,50,4.0
189,1678,2023,5,Solo,44,5.0
190,669,2022,5,Friends,326,5.0
191,2996,2021,6,Business,17,3.0
192,590,2023,12,Family,85,4.0
193,955,2023,11,Solo,56,4.0
194,580,2023,10,Family,221,0.0
195,1318,2024,6,Family,102,3.0
196,1166,2023,1,Friends,70,3.0
197,1411,2023,4,Couples,326,3.0
198,2792,2023,4,Friends,244,4.0
199,1376,2020,11,Couples,88,5.0
200,1491,2022,2,Couples,138,5.0
201,2651,2020,10,Business,126,2.0
202,2434,2021,12,Couples,52,5.0
203,722,2023,11,Solo,52,3.0
204,49,2020,12,Friends,114,4.0
205,1835,2021,5,Friends,306,5.0
206,2512,2021,6,Family,267,4.0
207,1616,2021,12,Business,77,5.0
208,669,2024,1,Business,306,4.0
209,2203,2023,2,Business,150,5.0
210,1965,2022,12,Business,296,3.0
211,1659,2023,9,Couples,139,4.0
212,2577,2022,12,Solo,292,3.0
213,2332,2023,7,Business,246,5.0
214,1959,2023,1,Friends,250,3.0
215,1944,2024,8,Family,329,4.0
216,1937,2021,6,Couples,311,4.0
217,1518,2024,3,Family,174,3.0
218,1317,2024,6,Couples,246,5.0
219,2101,2024,4,Family,132,4.0
220,1784,2022,10,Couples,245,5.0
221,1408,2023,8,Couples,77,3.0
222,417,2024,2,Business,209,4.0
223,2073,2024,5,Family,262,3.0
224,1879,2023,4,Business,178,4.0
225,965,2020,5,Couples,230,5.0
226,985,2023,2,Friends,52,4.0
227,727,2021,12,Family,299,5.0
228,2886,2024,12,Couples,103,5.0
229,2563,2020,5,Family,141,5.0
230,1649,2022,4,Couples,20,5.0
231,1120,2024,9,Couples,85,4.0
232,2191,2023,4,Couples,38,5.0
233,1520,2021,9,Couples,172,5.0
234,2922,2023,4,Couples,36,5.0
235,180,2024,5,  Family ,185,3.0
236,132,2023,4,Couples,22,5.0
237,1662,2024,10,Friends,230,5.0
238,669,2024,10,Couples,159,5.0
239,1767,2024,9,Friends,85,5.0
240,2323,2024,1,Solo,231,5.0
241,462,2023,2,Family,221,5.0
242,1233,2021,10,Solo,50,3.0
243,2029,2022,3,Family,165,5.0
244,2484,2024,1,Solo,145,3.0
245,1434,2023,11,Friends,262,2.0
246,669,2024,1,Friends,257,4.0
247,1711,2023,2,Friends,200,4.0
248,1295,2024,3,Couples,173,4.0
249,2300,2023,6,Friends,144,4.0
250,1624,2020,7,Business,230,4.0
251,788,2024,6,Friends,323,4.0
252,2247,2020,6,Family,326,4.0
253,1503,2020,10,Couples,275,5.0
254,598,2023,8,Family,8,5.0
255,1656,2023,2,Friends,41,5.0
256,2858,2024,5,Family,339,3.0
257,2089,2023,10,Family,290,5.0
258,856,2022,9,Friends,169,5.0
259,2105,2020,3,Friends,142,5.0
260,803,2022,7,Business,96,1.0
261,1576,2023,6,Family,209,3.0
262,1519,2022,1,Couples,239,4.0
263,727,2021,4,Family,46,3.0
264,985,2021,10,Business,60,2.0
265,2847,2023,10,Friends,118,4.0
266,741,2024,11,Family,326,5.0
267,2398,2023,8,Friends,265,4.0
268,1957,2023,8,Couples,326,4.0
269,1534,2023,7,Couples,326,5.0
270,459,2023,9,Friends,52,4.0
271,669,2024,5,Family,313,4.0
272,603,2023,7,Couples,145,3.0
273,1715,2024,4,Couples,125,5.0
274,2913,2021,12,Friends,267,5.0
275,2615,2021,7,Friends,230,5.0
276,100,2023,12,Solo,300,4.0
277,775,2022,8,Friends,52,4.0
278,524,2023,10,Business,37,2.0
279,2922,2024,8,Business,138,3.0
280,704,2022,3,,187,3.0
281,669,2022,2,Family,238,5.0
282,1807,2022,9,Friends,255,4.0
283,1627,2024,8,Family,208,4.0
284,675,2022,12,Business,291,4.0
285,1965,2022,7,Friends,197,4.0
286,318,2023,6,Friends,66,5.0
287,79,2020,1,Friends,283,3.0
288,265,2024,5,Solo,222,4.0
289,1013,2023,3,Business,213,3.0
290,2919,2023,2,Family,306,5.0
291,1593,2023,8,Friends,20,5.0
292,2248,2022,3,Couples,61,3.0
293,926,2023,5,Family,254,4.0
294,2139,2022,6,Family,133,5.0
295,2896,2024,3,Family,88,5.0
296,985,2021,9,Couples,289,5.0
297,2996,2022,3,Family,326,5.0
298,1858,2021,3,Business,166,4.0
299,2230,2023,7,Couples,45,4.0
300,743,2024,12,Business,295,4.0
301,1874,2021,9,Family,293,5.0
302,1475,2024,4,Family,104,3.0
303,2871,2023,12,Friends,288,3.0
304,2713,2024,2,Friends,10,5.0
305,1108,2021,9,Business,202,3.0
306,2858,2021,10,Family,21,4.0
307,2645,2023,3,Family,291,5.0
308,1730,2021,12,Family,113,4.0
309,265,2023,1,Couples,52,4.0
310,538,2023,6,Friends,61,3.0
311,248,2024,5,Business,46,3.0
312,352,2024,5,Couples,46,4.0
313,2928,2023,4,Family,167,4.0
314,669,2024,2,Couples,52,4.0
315,2037,2020,7,Family,295,5.0
316,1850,2021,9,Solo,178,4.0
317,1839,2023,9,Couples,257,5.0
318,669,2023,1,Family,247,5.0
319,1694,2024,2,Couples,326,5.0
320,1825,2022,6,Friends,35,5.0
321,1667,2023,8,Couples,209,4.0
322,636,2022,7,Business,307,4.0
323,2152,2022,11,Couples,289,3.0
324,233,2023,1,Couples,230,5.0
325,1733,2024,1,Friends,267,4.0
326,1222,2022,10,Business,132,3.0
327,739,2024,8,Business,292,4.0
328,2413,2023,11,Couples,339,5.0
329,594,2023,2,Business,255,3.0
330,2813,2022,10,Family,332,4.0
331,2644,2022,3,Family,285,5.0
332,994,2022,7,Business,309,4.0
333,877,2021,2,Business,83,4.0
334,459,2024,11,Solo,167,3.0
335,2748,2021,8,Family,148,4.0
336,1828,2021,9,Family,172,5.0
337,128,2023,4,Solo,206,5.0
338,1475,2021,5,Friends,195,5.0
339,278,2023,1,Family,50,5.0
340,1679,2023,3,Friends,176,5.0
341,1475,2020,2,  Couples ,159,5.0
342,267,2022,12,Business,194,4.0
343,2426,2021,6,Friends,22,5.0
344,760,2024,4,Family,326,3.0
345,1571,2024,4,Business,336,3.0
346,1860,2024,6,Couples,52,4.0
347,2889,2024,5,Business,292,4.0
348,1423,2022,11,Business,25,4.0
349,2751,2024,4,Family,68,5.0
350,985,2023,4,Couples,178,5.0
351,2549,2023,6,Family,326,4.0
352,705,2024,2,Business,320,4.0
353,2090,2022,8,Family,38,3.0
354,286,2022,9,,11,5.0
355,2959,2022,6,Family,324,4.0
356,2861,2023,10,,251,5.0
357,1238,2021,11,Solo,58,4.0
358,1518,2023,9,Family,321,5.0
359,1755,2023,10,Family,87,5.0
360,780,2020,2,Couples,175,4.0
361,1981,2022,11,Couples,307,4.0
362,2063,2023,1,  Couples ,261,4.0
363,1518,2022,6,Solo,150,4.0
364,485,2023,5,Couples,249,5.0
365,2758,2024,4,Family,102,3.0
366,379,2023,1,Solo,265,4.0
367,1833,2022,8,Friends,267,5.0
368,343,2021,7,Family,317,5.0
369,481,2022,4,Business,342,4.0
370,81,2021,6,Family,167,4.0
371,1005,2020,7,Family,13,5.0
372,1863,2022,4,Couples,306,5.0
373,1517,2023,10,Friends,64,4.0
374,1981,2022,11,Family,131,4.0
375,1983,2024,7,Couples,162,5.0
376,465,2022,8,Couples,336,4.0
377,188,2023,9,Family,238,4.0
378,1824,2023,4,Couples,238,
379,1908,2022,2,Friends,50,3.0
380,1629,2022,2,Couples,131,5.0
381,725,2023,11,Friends,29,3.0
382,2413,2022,3,Solo,10,4.0
383,245,2024,6,Family,242,4.0
384,1843,2022,6,Family,6,2.0
385,396,2022,11,Couples,311,5.0
386,1911,2024,6,Friends,243,3.0
387,1162,2021,12,Solo,97,5.0
388,2134,2020,11,Couples,153,5.0
389,180,2023,5,Couples,172,5.0
390,1622,2023,2,Family,95,5.0
391,481,2021,3,Couples,249,5.0
392,2008,2021,2,Couples,206,
393,394,2023,3,Family,59,4.0
394,235,2021,10,Family,339,5.0
395,2114,2023,1,Business,326,4.0
396,208,2024,12,Family,269,4.0
397,672,2024,9,Family,154,5.0
398,2454,2024,12,Friends,48,4.0
399,2413,2023,10,Friends,326,5.0
400,2543,2022,4,Solo,302,4.0
401,926,2022,7,Family,69,5.0
402,1522,2022,1,Couples,172,5.0
403,2304,2023,12,Family,311,4.0
404,458,2020,8,Friends,277,4.0
405,2156,2020,5,Family,242,4.0
406,321,2024,1,Couples,290,5.0
407,2734,2022,9,Couples,165,5.0
408,1853,2022,11,Family,323,4.0
409,1421,2023,4,Business,326,4.0
410,1397,2023,7,Family,22,5.0
411,614,2024,11,Friends,340,4.0
412,978,2023,6,Friends,334,5.0
413,2156,2021,5,Family,135,3.0
414,1568,2021,5,Couples,306,5.0
415,1528,2020,3,Couples,22,3.0
416,664,2022,12,Friends,280,4.0
417,2035,2023,12,Couples,165,4.0
418,1097,2020,9,Solo,172,3.0
419,619,2020,12,Friends,326,4.0
420,2855,2023,5,Family,139,4.0
421,1467,2023,4,Solo,326,4.0
422,1522,2020,9,Solo,56,5.0
423,2941,2024,12,Family,178,5.0
424,1019,2020,1,Family,220,5.0
425,2850,2020,10,Solo,50,5.0
426,2050,2022,7,Friends,326,5.0
427,1843,2024,10,Family,213,4.0
428,700,2024,10,Friends,50,4.0
429,179,2021,6,Couples,195,5.0
430,1226,2023,8,Couples,238,5.0
431,39,2024,12,Family,289,5.0
432,225,2024,9,Couples,120,4.0
433,1744,2023,12,Friends,52,5.0
434,2156,2022,5,Family,238,4.0
435,565,2021,11,Friends,163,5.0
436,2177,2024,11,Couples,265,3.0
437,2858,2024,12,Family,56,4.0
438,2210,2023,11,Couples,237,4.0
439,2335,2024,4,Friends,25,4.0
440,2069,2024,1,Couples,153,5.0
441,672,2024,4,Family,330,5.0
442,996,2023,3,Couples,59,4.0
443,2858,2022,3,Family,59,3.0
444,1934,2023,1,Solo,264,3.0
445,2344,2020,4,Family,64,4.0
446,2902,2024,2,Family,202,4.0
447,691,2022,12,Solo,211,4.0
448,926,2022,4,Family,291,5.0
449,1876,2021,7,Family,22,5.0
450,95,2023,8,Family,326,4.0
451,1670,2024,3,Friends,238,4.0
452,2413,2024,9,Couples,326,4.0
453,1783,2024,4,Couples,146,4.0
454,843,2021,1,Couples,50,5.0
455,2154,2020,12,Friends,326,3.0
456,481,2023,10,Couples,143,5.0
457,2679,2024,4,Friends,267,5.0
458,334,2024,4,Solo,141,5.0
459,2577,2023,5,Friends,51,4.0
460,1439,2024,4,Business,59,4.0
461,1198,2023,10,Friends,347,4.0
462,1450,2024,5,Couples,222,5.0
463,669,2022,2,Solo,179,5.0
464,1304,2024,1,Family,44,4.0
465,2525,2024,12,Family,326,5.0
466,2398,2023,1,Couples,343,4.0
467,547,2024,12,Family,25,3.0
468,1976,2024,2,Couples,277,4.0
469,2549,2020,5,Friends,287,5.0
470,2444,2024,2,Couples,291,5.0
471,1186,2023,10,Family,240,4.0
472,172,2021,9,Family,170,5.0
473,2806,2020,6,Family,28,4.0
474,1104,2020,2,Friends,195,5.0
475,996,2021,12,Couples,326,4.0
476,2260,2024,11,Couples,22,4.0
477,760,2021,12,Business,85,4.0
478,2487,2022,4,Couples,307,5.0
479,246,2023,1,couples,323,5.0
480,2201,2024,10,Friends,35,4.0
481,2896,2023,2,Friends,50,4.0
482,2994,2024,7,Business,126,1.0
483,2779,2023,9,Business,326,3.0
484,2594,2021,2,Business,32,3.0
485,788,2021,8,Friends,20,5.0
486,2896,2023,2,Couples,326,4.0
487,2792,2021,2,Solo,199,5.0
488,1542,2023,10,Couples,210,4.0
489,1121,2023,11,Solo,115,3.0
490,356,2024,6,Family,227,5.0
491,1731,2022,3,Solo,202,4.0
492,2069,2023,6,Family,12,4.0
493,1126,2022,9,Family,52,2.0
494,1132,2023,10,Family,57,4.0
495,1677,2023,8,Family,46,5.0
496,110,2022,3,Family,46,4.0
497,2879,2023,9,Friends,326,4.0
498,828,2022,9,Solo,56,3.0
499,469,2023,3,Friends,318,5.0
500,19,2023,1,Friends,326,5.0
501,2549,2021,0,Friends,153,5.0
502,2577,2023,10,business,51,5.0
503,312,2021,9,Family,342,4.0
504,504,2024,10,Friends,283,5.0
505,1266,2021,8,Friends,97,4.0
506,634,2022,1,Couples,54,
507,2188,2024,9,Couples,324,4.0
508,188,2022,12,Couples,293,5.0
509,1604,2020,8,Solo,56,4.0
510,1062,2021,12,Family,56,3.0
511,1320,2021,6,Family,282,4.0
512,1183,2024,10,Family,326,4.0
513,507,2024,5,Solo,170,5.0
514,669,2022,6,Family,35,5.0
515,215,2022,1,Family,102,2.0
516,379,2022,12,Family,145,5.0
517,2932,2022,11,Family,52,4.0
518,789,2021,6,Family,17,5.0
519,879,2024,2,Solo,88,4.0
520,418,2024,4,Friends,237,5.0
521,2250,2020,12,Business,195,5.0
522,2779,2024,1,Family,329,4.0
523,2346,2020,9,family,50,4.0
524,1791,2020,9,Couples,347,5.0
525,2417,2024,5,Family,326,5.0
526,1126,2024,11,Friends,326,4.0
527,2560,2023,5,Business,110,4.0
528,2386,2022,11,Family,76,4.0
529,7,2023,1,Business,120,2.0
530,1399,2022,5,Friends,49,5.0
531,760,2020,12,Family,130,3.0
532,279,2023,5,Family,143,5.0
533,2514,2023,5,Solo,170,4.0
534,29,2023,3,Family,209,3.0
535,2169,2021,7,Family,3,2.0
536,2965,2020,6,Family,303,4.0
537,1393,2020,10,Couples,55,5.0
538,1032,2022,4,,278,3.0
539,1769,2024,6,,79,4.0
540,2411,2020,11,  Couples ,85,4.0
541,724,2024,9,Couples,222,5.0
542,741,2020,6,Couples,9,4.0
543,1772,2021,7,Solo,50,4.0
544,2837,2024,7,Friends,336,5.0
545,855,2020,7,Couples,162,4.0
546,1045,2020,9,Solo,262,3.0
547,2983,2023,11,Friends,308,3.0
548,595,2020,7,Couples,3,3.0
549,249,2022,6,Couples,164,5.0
550,1729,2024,7,Friends,230,5.0
551,95,2023,9,Friends,300,2.0
552,610,2024,2,Business,310,4.0
553,1811,2024,1,Friends,88,5.0
554,1929,2023,10,Friends,264,3.0
555,1475,2023,5,Family,146,4.0
556,1063,2024,7,Family,326,4.0
557,1686,2024,4,Friends,2,5.0
558,1876,2021,5,Couples,341,5.0
559,2409,2020,6,Couples,230,5.0
560,2360,2021,1,Family,235,5.0
561,1945,2024,4,Couples,326,5.0
562,2678,2023,8,Family,53,5.0
563,2498,2022,10,Couples,254,5.0
564,441,2022,2,Couples,163,5.0
565,2872,2024,2,Friends,83,4.0
566,2667,2024,3,Family,294,4.0
567,926,2024,8,Family,78,5.0
568,80,2024,2,Business,306,5.0
569,1767,2024,7,Business,172,4.0
570,1226,2022,5,Friends,209,5.0
571,2230,2021,3,Family,326,5.0
572,1518,2024,9,,32,2.0
573,247,2023,4,Friends,97,
574,724,2022,5,Business,242,3.0
575,2638,2023,6,Business,22,3.0
576,147,2024,12,Solo,56,4.0
577,2191,2023,1,FAMILY,237,5.0
578,832,2023,8,Solo,326,5.0
579,1286,2023,12,Couples,206,5.0
580,1531,2022,6,Family,143,3.0
581,737,2024,2,Couples,16,5.0
582,1904,2022,1,Family,203,3.0
583,2045,2024,10,Couples,72,4.0
584,276,2024,4,Family,293,5.0
585,1032,2021,11,Family,141,5.0
586,2217,2023,2,Family,143,5.0
587,2146,2022,5,Family,202,3.0
588,1582,2023,10,Friends,178,5.0
589,2310,2023,8,Couples,307,5.0
590,352,2021,2,Couples,58,5.0
591,389,2021,8,Couples,39,4.0
592,1922,2024,1,Family,52,4.0
593,2045,2021,5,Friends,243,4.0
594,2419,2021,7,Solo,71,3.0
595,613,2021,8,Friends,314,5.0
596,1500,2024,10,Family,134,3.0
597,1933,2021,4,Friends,171,5.0
598,672,2022,2,Friends,267,5.0
599,1501,2024,2,Friends,235,5.0
600,1858,2022,9,Friends,15,5.0
601,669,2024,2,Couples,143,5.0
602,1042,2022,12,Family,300,4.0
603,669,2023,12,Couples,232,5.0
604,2708,2021,11,Friends,82,5.0
605,711,2024,12,Solo,307,5.0
606,398,2024,11,Friends,320,5.0
607,136,2023,10,Friends,195,5.0
608,172,2022,1,Friends,150,
609,654,2024,5,Family,326,4.0
610,1774,2021,1,Family,85,4.0
611,72,2023,10,Solo,272,4.0
612,822,2024,12,Family,211,4.0
613,188,2021,4,Couples,237,5.0
614,1125,2024,1,Friends,52,3.0
615,172,2023,11,Business,52,4.0
616,1772,2021,4,Family,50,4.0
617,2029,2022,9,Family,195,5.0
618,2172,2023,6,Couples,50,4.0
619,672,2022,10,Business,293,4.0
620,2586,2021,4,Family,83,4.0
621,2035,2023,10,Couples,227,4.0
622,187,2024,2,Friends,67,2.0
623,1233,2023,12,Friends,67,4.0
624,2290,2024,2,Couples,176,5.0
625,895,2023,10,Friends,179,3.0
626,1061,2020,5,Couples,286,3.0
627,1835,2020,1,Couples,76,5.0
628,181,2023,9,Solo,188,3.0
629,2896,2024,7,Business,326,4.0
630,590,2023,3,Family,76,5.0
631,107,2023,10,Friends,209,5.0
632,19,2021,8,Family,88,4.0
633,1117,2022,5,Couples,312,4.0
634,2644,2021,6,Family,86,3.0
635,2444,2024,2,Business,338,5.0
636,2734,2020,3,Business,77,4.0
637,1539,2022,8,Family,334,4.0
638,1269,2024,8,FAMILY,260,5.0
639,1069,2024,8,Friends,50,5.0
640,172,2022,9,Couples,248,3.0
641,2732,2024,12,Family,20,5.0
642,1433,2021,5,Couples,2,5.0
643,1296,2023,10,Friends,208,2.0
644,1491,2021,10,Family,277,5.0
645,2368,2020,11,Friends,104,4.0
646,672,2024,11,Family,326,5.0
647,2104,2024,2,Couples,242,3.0
648,2105,2022,6,Couples,229,5.0
649,2524,2023,4,Couples,234,5.0
650,32,2023,9,Friends,143,5.0
651,572,2022,6,Friends,28,3.0
652,1350,2023,13,Couples,326,5.0
653,2527,2024,6,Family,237,5.0
654,2892,2020,1,Family,289,5.0
655,1742,2020,6,Couples,25,5.0
656,669,2023,7,Family,238,4.0
657,630,2023,1,Friends,56,4.0
658,1862,2022,6,Business,56,4.0
659,669,2023,12,Family,25,5.0
660,1616,2021,4,Family,322,5.0
661,2488,2022,11,Couples,283,4.0
662,1087,2023,7,Business,105,3.0
663,1053,2021,8,Friends,239,5.0
664,142,2024,1,Couples,64,5.0
665,748,2023,5,Family,107,4.0
666,2061,2024,7,Friends,22,3.0
667,993,2024,6,COUPLES,221,5.0
668,528,2021,9,Solo,72,3.0
669,347,2022,8,Family,320,5.0
670,311,2021,3,Couples,56,5.0
671,1928,2023,9,Business,52,4.0
672,1791,2024,6,Friends,22,4.0
673,1506,2023,8,Family,83,5.0
674,1449,2023,9,Business,43,5.0
675,507,2022,9,Couples,289,3.0
676,1450,2021,7,Couples,144,4.0
677,194,2022,4,Family,350,2.0
678,2784,2024,1,Solo,10,4.0
679,188,2022,4,Couples,151,4.0
680,1179,2023,2,Couples,268,5.0
681,3,2024,9,Friends,199,5.0
682,2340,2024,3,Couples,111,4.0
683,557,2022,4,Friends,50,5.0
684,2780,2023,6,Family,226,3.0
685,169,2020,8,Family,56,3.0
686,2445,2022,4,Friends,230,5.0
687,1917,2022,2,Family,326,4.0
688,736,2023,6,Family,210,5.0
689,669,2024,6,Couples,25,5.0
690,985,2024,8,Couples,60,4.0
691,2469,2023,5,Business,265,4.0
692,2571,2023,3,Friends,206,5.0
693,592,2023,12,Couples,50,5.0
694,985,2022,10,Couples,146,4.0
695,713,2024,7,Couples,143,5.0
696,404,2023,1,Family,180,3.0
697,1882,2023,9,Couples,327,5.0
698,977,2020,4,Family,344,4.0
699,673,2021,4,Family,313,5.0
700,2580,2024,10,Business,347,3.0
701,2230,2021,2,  Solo ,326,5.0
702,2304,2024,2,Family,132,3.0
703,153,2023,2,Family,107,4.0
704,2742,2022,11,Family,18,5.0
705,1683,2022,6,Couples,96,3.0
706,1462,2023,8,Business,50,4.0
707,40,2020,2,Family,52,4.0
708,2688,2021,1,Couples,64,5.0
709,1578,2023,2,Family,59,5.0
710,2456,2023,2,  Family ,188,3.0
711,1913,2024,1,Couples,319,4.0
712,2378,2024,2,Family,52,3.0
713,2044,2022,9,Business,229,5.0
714,2766,2024,4,Family,181,4.0
715,673,2024,10,Friends,238,5.0
716,669,2022,4,,3,3.0
717,2111,2024,1,Friends,311,
718,1455,2023,12,Business,123,5.0
719,1756,2021,4,Family,303,5.0
720,2096,2023,9,Family,107,4.0
721,1593,2023,6,Couples,332,4.0
722,2344,2024,7,Couples,167,5.0
723,923,2024,9,Family,326,4.0
724,2556,2023,9,Couples,143,5.0
725,352,2024,7,Business,88,4.0
726,1843,2024,10,Family,159,3.0
